ID_SETA	Mes_1	SETA_dist	ID_Alimentador	FC	Valor_Inst	Pmax	D_Instantanea	D.Int_PU	D.Int_Ajustada_1	FP
3005	205.0	DE LOS RIOS	332	0.8649202547441315	0.9486914290853492	0.3291889866846179	0.31229877021698815	0.00018215952696103177	0.3843019540296887	0.905
278	9590.1	DE LOS RIOS	332	0.8649202547441315	0.9486914290853492	15.399781957093435	14.609641152477746	0.008521600387848735	17.978020338244473	0.905
3003	3359.8199999999997	CAUCETE CENTRO	335	0.7767774573976227	0.9810702530860186	6.0074048522213825	5.893686198759008	0.0018731841162269536	6.220001517137411	0.920
20	24510.5	CAUCETE CENTRO	335	0.7767774573976227	0.9810702530860186	43.82511462827539	42.99551629988591	0.013665219946539025	45.37604609348016	0.920
2953	324.0	CAUCETE CENTRO	335	0.7767774573976227	0.9810702530860186	0.5793165027054211	0.5683501879261147	0.0001806381453939595	0.5998179936879122	0.920
25	2954.0	CAUCETE CENTRO	335	0.7767774573976227	0.9810702530860186	5.281793052443871	5.181810046709083	0.0016469292638696185	5.468710967142262	0.920
72	51035.0	URBANO	334	0.7253248844625255	0.9087581234392252	97.72440731434276	88.80784900519262	0	88.80784900519262	0.919
71	80800.0	URBANO	334	0.7253248844625255	0.9087581234392252	154.71993947288908	140.6030018540132	0	140.6030018540132	0.919
2897	251.0	SANTA ROSA	333	0.7273166225796748	1.0	0.4793113484394784	0.4793113484394784	0.00016079254865036398	0.5633567932651316	0.942
3004	9117.0	SANTA ROSA	333	0.7273166225796748	1.0	17.409886708058664	17.409886708058664	0.0058404209802604325	20.462644956964958	0.942
645	40740.4	SANTA ROSA	333	0.7273166225796748	1.0	77.79815163332162	77.79815163332162	0.026098616530021074	91.43976533999509	0.942
3021	30641.0	CAUCETE CENTRO	335	0.7767774573976227	0.9810702530860186	54.7865338252988	53.74943860569161	0.017083127817951585	56.72538007589914	0.920
207	64387.0	CAUCETE CENTRO	335	0.7767774573976227	0.9810702530860186	115.12485080152454	112.94556651234181	0.03589737119592861	119.19901592464076	0.920
209	71397.0	CAUCETE CENTRO	335	0.7767774573976227	0.9810702530860186	127.65882822116961	125.24227891160744	0.039805622428063354	132.17655955350577	0.920
236	44444.49	DE LOS RIOS	332	0.8649202547441315	0.9486914290853492	71.36895915519332	67.70711985327426	0.039492620850850264	83.31758220903879	0.905
2666	46701.0	DE LOS RIOS	332	0.8649202547441315	0.9486914290853492	74.99246276662605	71.14470667270031	0.041497717407839724	87.54773441531945	0.905
439	4906.0	DE LOS RIOS	332	0.8649202547441315	0.9486914290853492	7.878054481340173	7.473842764314848	0.004359388484247911	9.197001885217817	0.905
2931	10565.0	DE LOS RIOS	332	0.8649202547441315	0.9486914290853492	16.965276313770673	16.094812230938924	0.009387880011430733	19.805610460115414	0.905
1592	595.0	SANTA ROSA	333	0.7273166225796748	1.0	1.1362161447071302	1.1362161447071302	0.0003811616193106238	1.3354473784571843	0.942
2478	25494.0	SANTA ROSA	333	0.7273166225796748	1.0	48.68351998851021	48.68351998851021	0.016331654323874022	57.21999238048312	0.942
37	2508.5	CAUCETE CENTRO	335	0.7767774573976227	0.9810702530860186	4.485232861223917	4.400328538310675	0.0013985518139529242	4.643961225821383	0.920
36	8425.8	CAUCETE CENTRO	335	0.7767774573976227	0.9810702530860186	15.06544749535598	14.780262387123015	0.004697595325495135	15.598600158072871	0.920
2941	2014.0	CAUCETE CENTRO	335	0.7767774573976227	0.9810702530860186	3.601059989039254	3.532892834824676	0.001122855632171094	3.7284982694057263	0.920
35	7185.040000000001	CAUCETE CENTRO	335	0.7767774573976227	0.9810702530860186	12.846951372217777	12.603761834125468	0.004005840432658688	13.301593448664805	0.920
34	29042.79	CAUCETE CENTRO	335	0.7767774573976227	0.9810702530860186	51.92891213459253	50.94591097036631	0.01619208556378467	53.766629718825186	0.920
3035	9766.2	SANTA ROSA	333	0.7273166225796748	1.0	18.64960355031727	18.64960355031727	0.006256303540355319	21.919741491577405	0.942
33	8006.0	CAUCETE CENTRO	335	0.7767774573976227	0.9810702530860186	14.314839261295068	14.043862976964428	0.0044635462716791354	14.821428572424153	0.920
2935	330.0	CAUCETE CENTRO	335	0.7767774573976227	0.9810702530860186	0.5900445860888549	0.578875191406228	0.0001839832962345884	0.6109257343117626	0.920
49	81506.0	COOPERATIVA	334	0.7253248844625255	0.9087581234392252	156.07182409254082	141.83153798407426	0.04615837121443775	141.5169503063447	0.919
48	58111.0	CAUCETE CENTRO	335	0.7767774573976227	0.9810702530860186	103.90327558245286	101.93641287214336	0.0323983434166308	107.58031923209342	0.920
98	27486.22	CAUCETE CENTRO	335	0.7767774573976227	0.9810702530860186	49.14574334256729	48.21542685919301	0.015324258656451723	50.88496708168077	0.920
38	9191.0	CAUCETE CENTRO	335	0.7767774573976227	0.9810702530860186	16.43363572952323	16.12255116428679	0.005124213562703339	17.015207345634572	0.920
24	40124.44	CAUCETE CENTRO	335	0.7767774573976227	0.9810702530860186	71.74305633893059	70.38497843959912	0.022370384032627175	74.28197869954018	0.920
3000	6316.0	CAUCETE CENTRO	335	0.7767774573976227	0.9810702530860186	11.293095774961236	11.079320330065867	0.0035213287849020013	11.692748296706341	0.920
23	38681.2	CAUCETE CENTRO	335	0.7767774573976227	0.9810702530860186	69.16252316187943	67.85329410249268	0.021565741449422304	71.61012276987924	0.920
3018	1922.0	CAUCETE CENTRO	335	0.7767774573976227	0.9810702530860186	3.43656271049327	3.3715094481296064	0.001071563319281451	3.5581795798400226	0.920
22	8367.0	CAUCETE CENTRO	335	0.7767774573976227	0.9810702530860186	14.96031227819833	14.677117353017907	0.004664812847256973	15.489744299959142	0.920
3015	3630.0	CAUCETE CENTRO	335	0.7767774573976227	0.9810702530860186	6.490490446977404	6.367627105468507	0.002023816258580472	6.720183077429387	0.920
237	24550.0	CAUCETE CENTRO	335	0.7767774573976227	0.9810702530860186	43.89574117721633	43.06480590612999	0.013687242189573167	45.44917205258718	0.920
3024	4001.4300000000003	DE LOS RIOS	332	0.8649202547441315	0.9486914290853492	6.425496034094784	6.095813015167624	0.003555602907159421	7.50125545323423	0.905
637	4683.0	DE LOS RIOS	332	0.8649202547441315	0.9486914290853492	7.51996109582471	7.134122638664173	0.004161234462236642	8.778956344980642	0.905
781	6044.0	DE LOS RIOS	332	0.8649202547441315	0.9486914290853492	9.705454807423564	9.207481791177933	0.005370596004646224	11.33034639100214	0.905
3023	106.0	DE LOS RIOS	332	0.8649202547441315	0.9486914290853492	0.17021479311497315	0.16148131533171092	9.41898041847286e-05	0.1987122298885219	0.905
2939	316.0	DE LOS RIOS	332	0.8649202547441315	0.9486914290853492	0.5074327794748257	0.48139712872472323	0.0002807922464374929	0.5923874023091787	0.905
19	937.88	CAUCETE CENTRO	335	0.7767774573976227	0.9810702530860186	1.6769424739424703	1.6451983773214334	0.0005228916784015022	1.7362879627161083	0.920
2428	1406.0	CAUCETE CENTRO	335	0.7767774573976227	0.9810702530860186	2.51394753951797	2.466359148839868	0.0007838803469873675	2.602913886188903	0.920
238	4923.03	CAUCETE CENTRO	335	0.7767774573976227	0.9810702530860186	8.802446056524289	8.63581798045031	0.002744712990490199	9.11395672057223	0.920
202	194264.19999999998	CAUCETE CENTRO	335	0.7767774573976227	0.9810702530860186	347.3470893360076	340.7718968435689	0.10830717532234947	359.63939101662754	0.920
239	767.0	CAUCETE CENTRO	335	0.7767774573976227	0.9810702530860186	1.371406659182278	1.3454462782078087	0.0004276217824603918	1.419939509748854	0.920
3019	8506.0	CAUCETE CENTRO	335	0.7767774573976227	0.9810702530860186	15.208846209914544	14.920946600307197	0.004742308841731542	15.747073624411673	0.920
3011	1742.0	DE LOS RIOS	332	0.8649202547441315	0.9486914290853492	2.7973034868517286	2.6537778425267966	0.0015479116876395966	3.265629287413257	0.905
1569	5110.0	DE LOS RIOS	332	0.8649202547441315	0.9486914290853492	8.205637668089743	7.784618125896631	0.004540659428150596	9.579429195569313	0.905
551	3059.0	DE LOS RIOS	332	0.8649202547441315	0.9486914290853492	4.912142001308518	4.660107015091545	0.0027181755754819323	5.734535011594232	0.905
