tension	ID_Bus	Coord_X	Coord_Y	modelo	estado
13,2 kV	654.0	2661587.7802455197	6517945.406624297	NULL	NULL
13,2 kV	655.0	2661584.525975331	6517936.426297305	NULL	NULL
13,2 kV	656.0	2661582.3769878517	6517897.736957935	NULL	NULL
13,2 kV	657.0	2661577.2708533136	6517829.932446112	NULL	NULL
13,2 kV	658.0	2661568.355204226	6517774.4303344535	NULL	NULL
13,2 kV	659.0	2661555.4841422993	6517694.304454508	NULL	NULL
13,2 kV	660.0	2661523.2401450602	6517589.494054428	NULL	NULL
13,2 kV	661.0	2661474.5875515966	6517406.666403674	NULL	NULL
13,2 kV	662.0	2661503.1684987964	6517399.136496524	NULL	NULL
13,2 kV	663.0	2661496.260334274	6517372.674243064	NULL	NULL
13,2 kV	664.0	2661701.4634284927	6517345.227255885	NULL	NULL
13,2 kV	665.0	2661762.3087984757	6517365.442700964	NULL	NULL
13,2 kV	666.0	2661886.8974733553	6517399.086137725	NULL	NULL
13,2 kV	667.0	2662028.369178102	6517427.248881829	NULL	NULL
13,2 kV	668.0	2662154.6341399513	6517427.640961663	NULL	NULL
13,2 kV	669.0	2662289.605694211	6517449.421954093	NULL	NULL
13,2 kV	670.0	2662439.258259007	6517447.496372698	NULL	NULL
13,2 kV	671.0	2662496.075403098	6517439.325357851	NULL	NULL
13,2 kV	672.0	2662576.248027157	6517442.123230217	NULL	NULL
13,2 kV	673.0	2662634.509547662	6517474.405202382	NULL	NULL
13,2 kV	674.0	2662680.6855763793	6517514.161304953	NULL	NULL
13,2 kV	675.0	2662756.4489107304	6517521.074305538	NULL	NULL
13,2 kV	676.0	2662831.133663551	6517511.0034507485	NULL	NULL
13,2 kV	677.0	2661484.8450085376	6517334.841658531	NULL	NULL
13,2 kV	678.0	2661412.45644758	6517080.841021072	NULL	NULL
13,2 kV	679.0	2661362.940305949	6516903.938625173	NULL	NULL
13,2 kV	680.0	2661330.02312984	6516778.672294075	NULL	NULL
13,2 kV	681.0	2661323.6304108086	6516753.702134068	NULL	NULL
13,2 kV	682.0	2661325.5460843747	6516738.341098935	NULL	NULL
13,2 kV	683.0	2656306.4791474994	6518674.465225303	Fusible	Cerrado
13,2 kV	684.0	2656245.0362346102	6518769.789598085	NULL	NULL
13,2 kV	685.0	2656229.8202502243	6518790.940601314	NULL	NULL
13,2 kV	686.0	2656211.3571840725	6518816.3923055725	NULL	NULL
13,2 kV	687.0	2656173.405183728	6518868.709893606	NULL	NULL
13,2 kV	688.0	2656032.9013656345	6518916.081080976	NULL	NULL
13,2 kV	689.0	2655566.859059198	6519073.208323172	NULL	NULL
13,2 kV	690.0	2655398.7257634043	6519084.25903803	NULL	NULL
13,2 kV	691.0	2655049.3013488026	6519137.760485342	NULL	NULL
13,2 kV	692.0	2654732.868712394	6519169.137623002	NULL	NULL
13,2 kV	693.0	2654588.783590823	6519227.551180706	NULL	NULL
13,2 kV	694.0	2654444.5379768214	6519275.04791047	NULL	NULL
13,2 kV	695.0	2654171.8785425685	6519364.8283282025	NULL	NULL
13,2 kV	696.0	2654004.052984855	6519420.089385777	NULL	NULL
13,2 kV	697.0	2653750.8840095764	6519530.279012543	NULL	NULL
13,2 kV	698.0	2653465.0014829435	6519654.699578771	NULL	NULL
13,2 kV	699.0	2653115.070611808	6519892.465618733	NULL	NULL
13,2 kV	700.0	2652448.5670121014	6520369.671112792	NULL	NULL
13,2 kV	701.0	2651702.106861413	6521241.139057812	NULL	NULL
13,2 kV	702.0	2651273.4044125173	6521894.8174224105	NULL	NULL
13,2 kV	703.0	2651014.7890673517	6522544.063047533	NULL	NULL
13,2 kV	704.0	2650772.3888097503	6523951.653175115	NULL	NULL
13,2 kV	705.0	2650695.8859673836	6524569.190342417	NULL	NULL
13,2 kV	706.0	2650436.593458014	6525374.37426262	NULL	NULL
13,2 kV	707.0	2650205.5978628574	6525938.468216666	NULL	NULL
13,2 kV	708.0	2649939.418215762	6526312.126313208	NULL	NULL
13,2 kV	709.0	2649734.218876256	6526653.646851347	NULL	NULL
