Hora	P_332	P_333	P_334	P_335	PU_332	PU_333	PU_334	PU_335
131	1735.44	2213.7	2187.02	2229.2	0.7803939203165752	0.6318313175639516	0.6482508206804052	0.6586263746003982
132	1811.22	2303.32	2315.7	2295.86	0.8144707257846928	0.6574105390845196	0.6863926372185047	0.6783213477436167
133	1893.5	2512.66	2492.28	2608.98	0.8514704559762568	0.7171600841985086	0.7387324100215638	0.770833948862797
134	1970.1	2754.86	2725.88	2924.06	0.8859159996402554	0.786288486924257	0.8079733825371067	0.8639256401013998
135	1866.58	2706.5	2807.5	3016.8	0.839365050813922	0.7724856398729887	0.832166225759361	0.8913260572826492
136	1938.26	2883.32	3038.88	3165.02	0.871598165302635	0.8229533697242143	0.9007491719093881	0.9351182702932678
137	1921.96	2919.7	3154.28	3178.26	0.864268369457685	0.8333369010667523	0.9349546865853027	0.9390300831407958
138	1785.26	2787.24	3278.66	3090.44	0.8027970141199747	0.7955303435727282	0.9718219475505561	0.9130833003409541
139	1692.88	2539.24	3122.62	2830.52	0.7612555085889019	0.7247465125405829	0.9255704006698827	0.8362888596061006
140	1638.02	2286.84	2808.96	2555.78	0.7365860239230146	0.6527068393449642	0.8325989818375831	0.7551157884784704
141	1746.7	2321.24	2706.88	2534.38	0.7854573252990377	0.6625252417139391	0.8023416253547637	0.7487930698276322
142	1792.46	2368.62	2496.28	2603.72	0.8060347153520999	0.6760483784651611	0.7399180431125834	0.769279860072918
143	1825.76	2439.36	2403.94	2612.86	0.8210090835506789	0.6962388954297335	0.7125477032063965	0.7719803109359397
144	1861.48	2456.6	2332.38	2628.58	0.8370716791078334	0.7011595133611617	0.6913367272080564	0.7766248500570226
145	1835.04	2434.94	2292.5	2621.7	0.825182120694307	0.6949773448927896	0.6795159652905913	0.7745921255561924
146	1811.44	2396.04	2262.6	2570.3	0.8145696555445633	0.6838745584929894	0.67065335793522	0.7594057826284784
147	1777.82	2359.66	2224.9	2504.08	0.7994513895134454	0.6734910271504513	0.6594787660523606	0.7398408093079873
148	1760.98	2303.54	2162.42	2450.94	0.7918787660760859	0.6574733311926932	0.6409591771706349	0.7241403761722144
149	1679.64	2255.6	2081.02	2376.1	0.755301735767605	0.6437903599843019	0.6168315437683866	0.7020285881428343
150	1643.58	2186.68	1997.16	2284.02	0.7390862487633779	0.6241193050055299	0.5919747460151613	0.6748231706956763
151	1606.46	2039.08	1800.54	2088.64	0.7223941001888659	0.5819915087944628	0.5336949514260944	0.6170973403218086
152	1663.3	2040.82	1778.6	2047.98	0.7479539526935874	0.5824881372863819	0.5271917539218519	0.605084174885216
153	1667.48	2094.14	1839.92	2056.96	0.7498336181311268	0.5977066609582932	0.545367509207182	0.6077373530854276
154	1691.64	2125.88	1973.34	2085.48	0.7606979044878136	0.6067658496557138	0.5849143009581398	0.616163705231311
155	1728.18	2193.3	2065.94	2137.82	0.777129238240849	0.6260087766242107	0.6123617070152428	0.6316277750530341
156	1780.46	2334.26	2257.42	2340.88	0.8006385466318913	0.6662413928431268	0.6691179630823497	0.691622693241782
157	1835.72	2579.54	2515.88	2646.66	0.8254879035884521	0.7362488850833065	0.7457276452585793	0.7819666609545532
158	1966.54	2805.14	2776.54	2891.26	0.8843151362532601	0.8006393378286774	0.8229894256348694	0.8542347442253488
159	2032.64	2963.12	2969.3	3076.76	0.9140390322870762	0.845729779870848	0.8801250842911026	0.9090414876706987
160	2069.88	3034.36	3063.82	3188.04	0.9307851425487903	0.8660630061721789	0.9081415942318951	0.9419196246550573
161	2006.22	2990.86	3089.98	3179.4	0.9021584674880834	0.8536472938742018	0.9158956346471631	0.9393669008633171
162	1883.72	2849.68	3040.08	3087.3	0.8470725784692867	0.8133518855471119	0.9011048618366939	0.9121555743333079
163	1782.44	2617.26	2849.06	2869.18	0.8015289144707257	0.7470148774483572	0.8444849535750543	0.847711116757568
164	1685.72	2292.04	2524.36	2552.84	0.758035794585844	0.6541910164472511	0.7482411874115407	0.7542471532993364
165	1773.8	2237.7	2415.82	2461.18	0.7976436729921754	0.6386813657283528	0.7160690334867247	0.7271658265920546
166	1824.18	2305.82	2391.84	2522.06	0.8202985880025182	0.6581240857683114	0.7089611631060624	0.7451530747912617
167	1935.85	2427.075	2519.35	2647.575	0.8705144347513264	0.6927325270255806	0.7467561819650387	0.782237001494998
