ID_Seta	seta	usuario_su	gu_sum	usuarios_t	distribuid	num_int	conexion	tension	kva	num_fabr	marca_traf	mod_traf	gener_dato	observacio	fecha_act	x	y	multa_esti	ID_Bus
278	2974.0	1.0	0.0	1.0	SANTA ROSA	345	3.0	13,2	25.0	39258	MAYO	CN 280	DECSA	NULL	27/11/2017	2572937.8783085085	6495513.796746053	100	460.0
280	2976.0	5.0	0.0	5.0	SANTA ROSA	217	3.0	13,2	100.0	30800/7	ELECTRODINE	CN 280	DECSA	NULL	27/11/2017	2596616.696859678	6489089.68557643	100	265.0
284	2980.0	0.0	0.0	0.0	SANTA ROSA	370	3.0	33	25.0	18114	MIRON	CN 280	DECSA	NULL	27/11/2017	2595489.4172311802	6483961.909049052	100	1417.0
286	2982.0	18.0	0.0	18.0	SANTA ROSA	420	3.0	13,2	25.0	7063	MECOM	CN 282	DECSA	NULL	27/11/2017	2574327.982279994	6492520.253826274	100	148.0
289	2985.0	6.0	0.0	6.0	DE LOS RIOS	582	3.0	13,2	40.0	80963	MAYO	CN 280	DECSA	SETA NUEVA Y LMT NUEVA	27/11/2017	2566248.9097692817	6499000.105216462	100	31.0
290	2986.0	42.0	0.0	42.0	SANTA ROSA	108	3.0	13,2	63.0	3156	MIRAS	CN 280	DECSA	SETA NUEVA Y LMT NUEVA	27/11/2017	2574443.814732434	6492836.89462428	100	438.0
292	2988.0	1.0	1.0	2.0	DE LOS RIOS	190	3.0	13,2	50.0	30550	ELECTROMAC	CN 280	DECSA	NULL	27/11/2017	2566718.8376579834	6494786.242848513	100	137.0
293	2989.0	7.0	1.0	8.0	SANTA ROSA	136	3.0	13,2	63.0	6759	MECOM	CN 280	DECSA	SETA NUEVA Y LMT NUEVA	27/11/2017	2568756.266237648	6495052.34578123	100	1575.0
294	2990.0	0.0	0.0	0.0	SANTA ROSA	NULL	3.0	13,2	NULL	NULL	NULL	CN 282	DECSA	NULL	27/11/2017	2592885.4495488163	6492104.610734854	100	609.0
295	2991.0	3.0	0.0	3.0	SANTA ROSA	574	3.0	13,2	10.0	79013	MAYO	CN 282	DECSA	NULL	27/11/2017	2574573.8076523733	6493795.391658726	100	447.0
296	2992.0	5.0	3.0	8.0	DE LOS RIOS	221	3.0	13,2	80.0	30548/4	ELECTRODINE	CN 280	DECSA	NULL	27/11/2017	2563884.1021875464	6494045.41588224	100	999.0
298	2994.0	169.0	0.0	169.0	SANTA ROSA	497	3.0	13,2	100.0	36135	VASILE	CN 280	DECSA	NULL	27/11/2017	2567728.224533158	6497322.651552237	100	389.0
299	2995.0	15.0	0.0	15.0	DE LOS RIOS	458	3.0	13,2	16.0	205291	TRAFOPAR	CN 282	DECSA	NULL	27/11/2017	2564636.2890470535	6497665.322195109	100	782.0
302	2998.0	1.0	1.0	2.0	DE LOS RIOS	220	3.0	13,2	25.0	10734	T.T.E.	CN 282	DECSA	NULL	27/11/2017	2563597.1901690657	6504251.195218957	100	80.0
308	3004.0	31.0	0.0	31.0	SANTA ROSA	456	3.0	13,2	100.0	54782	MAYO	CN 280	DECSA	SETA NUEVA Y LMT NUEVA	27/11/2017	2574207.866821198	6497911.567591712	100	500.0
309	3005.0	1.0	1.0	2.0	DE LOS RIOS	520	2.0	13,2	10.0	66452	MAYO	CN 280	DECSA	NULL	27/11/2017	2563236.3372311564	6502948.591719511	100	54.0
320	3018.0	10.0	2.0	12.0	DE LOS RIOS	481	3.0	13,2	100.0	34256	VASILE	CN 280	DECSA	NULL	27/11/2017	2567427.5929449033	6504656.584893574	100	932.0
325	3023.0	1.0	0.0	1.0	DE LOS RIOS	307	3.0	13,2	10.0	1344.3	NICORO	CN 282	DECSA	NULL	27/11/2017	2564902.01329696	6502465.22704294	100	858.0
326	3024.0	0.0	1.0	1.0	DE LOS RIOS	623	3.0	13,2	40.0	90054	MAYO	CN 282	DECSA	NULL	27/11/2017	2564448.173294322	6504065.730001398	100	898.0
327	3025.0	0.0	1.0	1.0	URBANO	501	3.0	13,2	315.0	36131	VASILE	NIVEL	DECSA	NULL	27/11/2017	2568136.767322913	6499200.866273543	100	1514.0
328	3026.0	12.0	3.0	15.0	CAUCETE CENTRO	493	3.0	13,2	80.0	36139	VASILE	CN 280	DECSA	NULL	27/11/2017	2567700.62933737	6499463.786115704	100	1235.0
329	3027.0	13.0	1.0	14.0	DE LOS RIOS	342	3.0	13,2	160.0	30444	MAYO	CN 280	DECSA	NULL	27/11/2017	2564209.7399831736	6502727.949461826	100	1778.0
330	3028.0	78.0	0.0	78.0	CAUCETE CENTRO	506	3.0	13,2	315.0	36126	VASILE	CN 276	DECSA	NULL	09/03/2018	2567541.740421264	6499138.29726321	100	136.0
332	5000.0	1.0	0.0	1.0	SANTA ROSA	373	3.0	33	10.0	18111	MIRON	CN 282	DECSA	NULL	27/11/2017	2612065.8991037807	6492947.618176817	100	1421.0
335	5003.0	35.0	2.0	37.0	SANTA ROSA	544	3.0	33	100.0	57651	MAYO	CN 280	DECSA	NULL	27/11/2017	2627338.358187991	6504767.282797529	100	1462.0
336	5004.0	79.0	1.0	80.0	SANTA ROSA	365	3.0	33	100.0	18121	MIRON	CN 280	DECSA	NULL	27/11/2017	2627321.053258839	6505100.431541613	100	1592.0
