id,latitud,longitud
115,-31.63395317981989,-68.28435045254666
116,-31.63282364149353,-68.28434041828406
134,-31.635067155648677,-68.27944715483657
119,-31.642504984528948,-68.28114018684522
135,-31.654255464291808,-68.28198328008448
125,-31.63959880678672,-68.27845472485052
130,-31.638712547882744,-68.2804043761667
131,-31.638358068171378,-68.27839919128542
132,-31.636464299707075,-68.28031985883668
x_10,-31.660568378219867,-68.26349774548629
x_79,-31.66095218545403,-68.27164800093104
x_80,-31.655875191042963,-68.28012924397139
x_84,-31.661157280263073,-68.276493801565
x_14,-31.65943007237795,-68.27851585904368
x_15,-31.65929243202858,-68.28089552751118
x_81,-31.65460820606694,-68.27914870201252
x_82,-31.65173953484302,-68.28134910253922
x_335,-31.645774816491837,-68.28019491756267
x_3022,-31.636660884726044,-68.27771265452637
x_12,-31.66227601183872,-68.269755590685
x_13,-31.665614074286605,-68.27044201515585
x_60,-31.6549219272814,-68.28391874009355
x_47,-31.643607493672654,-68.27932453901208
x_3009,-31.649983464552587,-68.28216958886816
x_57,-31.657120236492386,-68.27792043477636
x_59,-31.65098135374703,-68.28118511221044
x_71,-31.6632913886579,-68.26937866507461
x_72,-31.66347887805333,-68.26419727806552
x_75,-31.659806628868182,-68.2683359266407
x_76,-31.662248711493547,-68.27991717873917
x_840,-31.656545427557813,-68.28696617025629
x_2943,-31.642504984528948,-68.28114018684522
x_116,-31.66298118169226,-68.27367710301544
x_132,-31.638712547882744,-68.2804043761667
x_131,-31.638358068171378,-68.27839919128542
x_130,-31.636464299707075,-68.28031985883668
x_129,-31.63464753298349,-68.28164088331326
x_128,-31.635067155648677,-68.27944715483657
x_3,-31.668129466525517,-68.27805584649332
x_6,-31.664213542127868,-68.27561644340152
x_7,-31.665949290347502,-68.27599970582577
x_8,-31.66292029950942,-68.27687672099671
x_9,-31.659069434451848,-68.27315620463293
x_69,-31.663045057654582,-68.27214035927587
x_70,-31.654255464291808,-68.28198328008448
x_74,-31.66470220296299,-68.27268075269687
x_91,-31.663395645437408,-68.27812538288377
x_89,-31.665681926848496,-68.27276111146755
x_93,-31.662683355131303,-68.27547449314893
x_92,-31.661551774360625,-68.27524458665029
x_96,-31.658055890696225,-68.2828720020302
